,ID,Avg_Tone,Avg_Sent,LIWC_Tweet_Count,VADER_Tweet_Count
0,718993.0,37.373,0.026,53.0,13.0
1,7662612.0,54.274,0.403,14.0,19.0
5,16182602.0,49.505,0.213,122.0,37.0
17,20228651.0,35.918,0.434,38.0,24.0
18,20301082.0,44.063,0.263,64.0,18.0
20,20907874.0,56.577,0.266,79.0,10.0
23,20990427.0,64.033,0.361,10.0,18.0
26,21994018.0,74.248,0.441,22.0,10.0
31,24045870.0,64.204,0.359,85.0,27.0
34,25663732.0,46.235,0.089,65.0,10.0
39,38934619.0,48.779,0.022,30.0,16.0
44,46959037.0,58.366,0.142,119.0,16.0
47,51282336.0,59.835,0.106,10.0,11.0
57,59504314.0,70.31,0.445,18.0,11.0
58,62338989.0,62.531,0.361,14.0,17.0
68,98360137.0,37.413,-0.159,69.0,10.0
72,124463742.0,65.554,-0.108,34.0,12.0
74,134014564.0,50.666,0.323,38.0,14.0
78,147734164.0,58.953,0.382,59.0,16.0
81,170280254.0,67.239,0.234,19.0,10.0
92,230506675.0,48.361,-0.049,17.0,11.0
102,286096686.0,46.247,0.462,29.0,12.0
110,312830331.0,57.713,0.76,15.0,11.0
112,319076296.0,56.222,0.35,20.0,10.0
117,365668788.0,50.179,0.309,21.0,15.0
123,404715814.0,48.055,0.18,32.0,18.0
125,415228549.0,50.901,0.095,240.0,13.0
126,415558897.0,44.004,0.02,133.0,12.0
133,516013541.0,56.729,0.158,36.0,11.0
138,567184513.0,33.612,0.085,71.0,14.0
139,568709751.0,29.371,-0.037,66.0,11.0
144,593756033.0,20.43,-0.044,80.0,12.0
145,608082148.0,42.689,0.316,24.0,12.0
155,1074916754.0,48.076,0.062,18.0,15.0
158,1365527522.0,32.618,-0.074,39.0,13.0
160,1424543245.0,56.433,0.284,33.0,16.0
162,1709322043.0,66.927,0.441,15.0,15.0
166,1972519165.0,33.82,0.133,111.0,11.0
172,2234063790.0,63.685,0.538,22.0,11.0
173,2265694387.0,65.094,0.444,35.0,18.0
176,2785332587.0,39.276,-0.042,84.0,17.0
179,2867624783.0,76.863,0.569,21.0,10.0
187,3323641727.0,34.857,-0.042,63.0,10.0
200,1.1917544503036232e+18,34.077,0.368,35.0,5.0
201,1.22283279249877e+18,49.378,0.13,41.0,7.0
207,7.649470580464927e+17,86.311,0.743,18.0,5.0
210,8.212858699864433e+17,51.629,0.313,31.0,16.0
213,9.48802534252204e+17,56.674,0.558,28.0,9.0
214,9.593167631994184e+17,51.066,0.18,94.0,5.0
