,Unnamed: 0,unique_values,counts
11,11.0,16182602.0,37.0
19,19.0,24045870.0,27.0
26,26.0,20228651.0,24.0
33,33.0,7.649470580464927e+17,20.0
39,39.0,7662612.0,19.0
41,41.0,9.593167631994184e+17,19.0
43,43.0,20301082.0,18.0
44,44.0,20990427.0,18.0
45,45.0,2265694387.0,18.0
46,46.0,404715814.0,18.0
49,49.0,62338989.0,17.0
53,53.0,2785332587.0,17.0
59,59.0,38934619.0,16.0
62,62.0,1424543245.0,16.0
63,63.0,1.1917544503036232e+18,16.0
64,64.0,147734164.0,16.0
65,65.0,46959037.0,16.0
72,72.0,1709322043.0,15.0
74,74.0,1074916754.0,15.0
78,78.0,365668788.0,15.0
87,87.0,567184513.0,14.0
89,89.0,134014564.0,14.0
91,91.0,8.212858699864433e+17,13.0
93,93.0,718993.0,13.0
95,95.0,1365527522.0,13.0
97,97.0,415228549.0,13.0
102,102.0,415558897.0,12.0
103,103.0,286096686.0,12.0
107,107.0,9.48802534252204e+17,12.0
110,110.0,608082148.0,12.0
111,111.0,593756033.0,12.0
114,114.0,124463742.0,12.0
117,117.0,312830331.0,11.0
119,119.0,59504314.0,11.0
125,125.0,2234063790.0,11.0
126,126.0,516013541.0,11.0
129,129.0,568709751.0,11.0
133,133.0,1972519165.0,11.0
134,134.0,230506675.0,11.0
136,136.0,51282336.0,11.0
137,137.0,21994018.0,10.0
139,139.0,20907874.0,10.0
145,145.0,25663732.0,10.0
146,146.0,170280254.0,10.0
149,149.0,319076296.0,10.0
151,151.0,98360137.0,10.0
152,152.0,3323641727.0,10.0
153,153.0,2867624783.0,10.0
154,154.0,1.22283279249877e+18,10.0
156,156.0,3130743677.0,9.0
158,158.0,464649461.0,9.0
159,159.0,579229967.0,9.0
161,161.0,826912052.0,9.0
162,162.0,47082321.0,9.0
165,165.0,4043656619.0,9.0
169,169.0,383999819.0,9.0
171,171.0,1.2880606841991332e+18,9.0
173,173.0,19591948.0,9.0
174,174.0,115494227.0,9.0
176,176.0,303880706.0,9.0
181,181.0,22703789.0,9.0
183,183.0,547674180.0,9.0
187,187.0,456273040.0,9.0
190,190.0,18839582.0,9.0
191,191.0,30201760.0,9.0
192,192.0,2583099904.0,9.0
193,193.0,46713001.0,9.0
194,194.0,23691974.0,9.0
196,196.0,21488562.0,9.0
197,197.0,137493302.0,9.0
198,198.0,2207006636.0,9.0
199,199.0,2805043263.0,8.0
202,202.0,2493459529.0,8.0
204,204.0,514828336.0,8.0
206,206.0,2225258196.0,8.0
207,207.0,489435576.0,8.0
208,208.0,1.067098202179072e+18,8.0
209,209.0,311585350.0,8.0
210,210.0,946536834.0,8.0
211,211.0,543455114.0,8.0
213,213.0,19483285.0,8.0
217,217.0,41594419.0,8.0
219,219.0,1.2569775905664287e+18,8.0
224,224.0,58806549.0,8.0
227,227.0,386475720.0,8.0
228,228.0,40675025.0,8.0
230,230.0,272834461.0,8.0
233,233.0,56407023.0,8.0
238,238.0,112251572.0,8.0
239,239.0,20184619.0,8.0
244,244.0,574424391.0,7.0
245,245.0,68164290.0,7.0
246,246.0,59226205.0,7.0
250,250.0,15413101.0,7.0
251,251.0,20013355.0,7.0
253,253.0,1.0434611200765336e+18,7.0
257,257.0,389577053.0,7.0
258,258.0,24963373.0,7.0
261,261.0,2189697473.0,7.0
262,262.0,238609684.0,7.0
265,265.0,53855114.0,7.0
268,268.0,22374019.0,7.0
269,269.0,244084093.0,7.0
270,270.0,178630347.0,7.0
403,403.0,53362802.0,6.0
404,404.0,68115226.0,6.0
407,407.0,20063138.0,6.0
409,409.0,177158062.0,6.0
410,410.0,1.0435903534361969e+18,6.0
414,414.0,17446633.0,6.0
415,415.0,243680544.0,6.0
417,417.0,540238108.0,6.0
419,419.0,323174005.0,6.0
420,420.0,16781292.0,6.0
423,423.0,20980415.0,6.0
424,424.0,2991702839.0,6.0
425,425.0,705994686.0,6.0
426,426.0,2155212734.0,6.0
427,427.0,1.1605905238428713e+18,6.0
429,429.0,1391486294.0,6.0
430,430.0,20773591.0,6.0
431,431.0,229102544.0,6.0
432,432.0,1966665852.0,6.0
434,434.0,17692511.0,6.0
437,437.0,198839504.0,6.0
438,438.0,28314035.0,6.0
439,439.0,90648395.0,6.0
440,440.0,95304424.0,6.0
442,442.0,3046769030.0,6.0
443,443.0,1.3000786391832658e+18,6.0
445,445.0,143942928.0,6.0
446,446.0,15611269.0,6.0
447,447.0,303639784.0,6.0
448,448.0,1893911726.0,6.0
449,449.0,351795482.0,6.0
450,450.0,57616186.0,6.0
451,451.0,3576334397.0,6.0
453,453.0,570641818.0,6.0
455,455.0,273632800.0,6.0
457,457.0,1.1424977353015665e+18,5.0
459,459.0,70248716.0,5.0
460,460.0,925437384.0,5.0
465,465.0,176590041.0,5.0
470,470.0,571258713.0,5.0
472,472.0,9.165579091522067e+17,5.0
473,473.0,141505767.0,5.0
476,476.0,199742999.0,5.0
478,478.0,158379459.0,5.0
481,481.0,222774907.0,5.0
483,483.0,3435328751.0,5.0
487,487.0,548540091.0,5.0
489,489.0,308989805.0,5.0
492,492.0,90631758.0,5.0
495,495.0,2830120060.0,5.0
496,496.0,313421430.0,5.0
497,497.0,3242111182.0,5.0
500,500.0,53741094.0,5.0
502,502.0,407118185.0,5.0
507,507.0,46714589.0,5.0
510,510.0,616002352.0,5.0
511,511.0,716411462.0,5.0
512,512.0,1510253143.0,5.0
513,513.0,173172163.0,5.0
517,517.0,25058158.0,5.0
519,519.0,19588903.0,5.0
520,520.0,18454837.0,5.0
522,522.0,1160631326.0,5.0
523,523.0,248595884.0,5.0
526,526.0,53358128.0,5.0
527,527.0,263579475.0,5.0
528,528.0,197948459.0,5.0
529,529.0,3154993948.0,5.0
532,532.0,1.1110049621657928e+18,5.0
533,533.0,416808219.0,5.0
534,534.0,130811704.0,5.0
535,535.0,402007161.0,5.0
539,539.0,33288734.0,5.0
540,540.0,1.0939835502889164e+18,5.0
541,541.0,972876836.0,5.0
542,542.0,22901142.0,5.0
543,543.0,308970792.0,5.0
545,545.0,611775698.0,5.0
546,546.0,93731919.0,5.0
547,547.0,509409166.0,5.0
549,549.0,8.409916464896737e+17,5.0
555,555.0,26734960.0,5.0
556,556.0,1725360170.0,5.0
557,557.0,8.123270735534653e+17,5.0
558,558.0,1.3208716143476777e+18,5.0
559,559.0,303390973.0,5.0
560,560.0,1.0484865568208856e+18,5.0
561,561.0,1.296463847549698e+18,5.0
563,563.0,344264745.0,5.0
565,565.0,301105121.0,5.0
568,568.0,1.0931777774387569e+18,5.0
569,569.0,1084025130.0,5.0
571,571.0,363832811.0,5.0
572,572.0,9.822799579247288e+17,5.0
573,573.0,207622369.0,5.0
576,576.0,50637798.0,5.0
579,579.0,65923415.0,5.0
582,582.0,104464603.0,5.0
584,584.0,2169306696.0,5.0
586,586.0,398648809.0,5.0
587,587.0,9.986733112184544e+17,5.0
590,590.0,20948754.0,5.0
591,591.0,155631535.0,5.0
592,592.0,85139253.0,5.0
596,596.0,2964587799.0,5.0
602,602.0,267715003.0,5.0
606,606.0,948591422.0,5.0
607,607.0,257118643.0,5.0
609,609.0,7.855112739833076e+17,5.0
612,612.0,10955042.0,5.0
614,614.0,21432774.0,5.0
616,616.0,51680239.0,5.0
623,623.0,2951423075.0,5.0
