,unique_values,counts
0,115123902,155
1,138418838,119
2,726443182997835778,104
3,27426996,79
4,2878365568,60
5,773798108,50
6,2258328236,49
7,16984207,48
8,352220090,46
9,2792589217,46
10,201761587,46
11,16182602,37
12,242235183,35
13,23431857,35
14,1148543156700569602,34
15,113744532,33
16,25327727,30
17,391723359,28
18,2545698815,27
19,24045870,27
20,163945249,27
21,360199374,27
22,1292032806068146176,26
23,851474124,25
24,1059555794188939275,25
25,822118904109604866,25
26,20228651,24
27,1034587316,24
28,79737242,23
29,49422027,21
30,290883,21
31,29417177,21
32,301558546,20
33,764947058046492676,20
34,1179125066250014720,20
35,2207093694,20
36,298063367,20
37,56694411,19
38,73672052,19
39,7662612,19
40,20356950,19
41,959316763199418368,19
42,1243884230532366337,18
43,20301082,18
44,20990427,18
45,2265694387,18
46,404715814,18
47,877848065121681409,18
48,409415280,18
49,62338989,17
50,1131227828,17
51,387869763,17
52,20702486,17
53,2785332587,17
54,69524371,17
55,1068818071,17
56,1421393832,17
57,329119055,16
58,1216482482,16
59,38934619,16
60,3131266481,16
61,1046745148703608832,16
62,1424543245,16
63,1191754450303623169,16
64,147734164,16
65,46959037,16
66,17444676,16
67,92804452,15
68,19554076,15
69,142659861,15
70,64086835,15
71,1284895084245286913,15
72,1709322043,15
73,296916169,15
74,1074916754,15
75,1238060391760101376,15
76,18938704,15
77,36960651,15
78,365668788,15
79,1612011,15
80,69921786,15
81,33979523,15
82,74161616,15
83,736785822,14
84,1115518973154668544,14
85,867468375634694144,14
86,72377367,14
87,567184513,14
88,2762324406,14
89,134014564,14
90,49642420,13
91,821285869986443265,13
92,1327263168570253313,13
93,718993,13
94,2389336800,13
95,1365527522,13
96,7310842,13
97,415228549,13
98,42942856,13
99,2261630598,13
100,892508001663430656,13
101,235304684,12
102,415558897,12
103,286096686,12
104,166230862,12
105,1251408183635202048,12
106,36735239,12
107,948802534252204032,12
108,3294298155,12
109,2861376640,12
110,608082148,12
111,593756033,12
112,1337297483681189889,12
113,263160690,12
114,124463742,12
115,514079220,12
116,20641044,12
117,312830331,11
118,3401171967,11
119,59504314,11
120,98170851,11
121,1387510806,11
122,449019615,11
123,634017287,11
124,2345690571,11
125,2234063790,11
126,516013541,11
127,3192197441,11
128,323179081,11
129,568709751,11
130,674433,11
131,726372601,11
132,260947903,11
133,1972519165,11
134,230506675,11
135,22975508,11
136,51282336,11
137,21994018,10
138,1610113303,10
139,20907874,10
